vignette_id,model,pass_type,temperature,sample_num,family_id,family_name,scenario_id,task_object,violation_form,agent_gender,partner_gender,relationship_context,severity,intentionality,agent_name,partner_name,obligation_source,reasoning,obligation_identified,fault_rating,confidence
EMOLAB-01_MF_MLD,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 knowingly recognized that Agent 2 wanted to talk about a stressful day but deliberately chose not to check in, breaking an established pattern of support. This was a conscious choice rather than an oversight, and the continued lack of change afterward compounds the issue, though it is a single instance of emotional neglect rather than a severe betrayal.","Checking in on a partner after a stressful day, especially when aware they want to talk",4,68
EMOLAB-01_MF_SEV,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for check-ins after difficult days and admitted to knowingly choosing not to engage despite understanding this caused Agent 2 to feel unsupported. This is a clear, repeated failure to meet a known emotional need in a long-term relationship, especially since the pattern continued unaddressed even after being directly communicated. This reflects a significant, ongoing breach of relational responsibility rather than a one-time oversight.",Providing emotional support and follow-through on a known relational need after being informed of its importance,5,78
EMOLAB-01_FM_MLD,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware Agent 2 wanted to talk about a stressful day but deliberately chose not to engage, breaking an established pattern of mutual support. While a single lapse might be understandable, the fact that Agent 1 knowingly withheld support and has not adjusted behavior since suggests a pattern of neglect rather than a one-time oversight, though it doesn't rise to a severe betrayal.","To provide emotional support and check in after a partner's stressful day, as had become an expected relational pattern",4,68
EMOLAB-01_FM_SEV,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and consciously chose not to engage despite knowing this caused distress, and continued the pattern even after being told it hurt Agent 2. This is a clear, ongoing failure to meet a known relational expectation, though it falls short of active harm or betrayal like lying or cheating.","To provide the emotional check-ins and support Agent 2 relied on, especially after being told it mattered",5,72
EMOLAB-01_MM_MLD,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 knowingly withheld the check-in he knew Agent 2 wanted, breaking an established pattern of support after a stressful day, and then failed to adjust behavior after being told this hurt Agent 2. This is a moderate but not egregious relational failure—an isolated instance of emotional neglect that becomes more concerning due to lack of follow-through, but doesn't rise to severe betrayal.","Providing emotional support/check-ins that Agent 2 had come to rely on, especially after being told it mattered",4,72
EMOLAB-01_MM_SEV,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 knowingly recognized that Agent 2 needed support after difficult days but repeatedly chose not to engage, despite explicit feedback that this made Agent 2 feel unsupported. This is a clear, sustained pattern of neglecting a partner's expressed emotional needs without justification or change, indicating a significant failure of care and responsiveness in the relationship.","To provide emotional support and check in with a partner after difficult days, especially once explicitly informed of the need",5,75
EMOLAB-01_FF_MLD,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 knowingly withheld support despite being aware Agent 2 wanted to talk after a stressful day, which is a deliberate choice rather than an oversight. This is a single incident within an otherwise reliable pattern, but the admission of intentional disengagement and lack of follow-up change afterward compound the fault.","To check in on and emotionally support a partner after a stressful day, especially when aware the partner needs it",4,65
EMOLAB-01_FF_SEV,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for check-ins after hard days and admitted to deliberately choosing not to engage despite knowing this, then continued the pattern even after being told it made Agent 2 feel unsupported. This is a clear, sustained failure to meet a known relational obligation, compounded by a lack of change after direct feedback.","Providing emotional support and check-ins after Agent 2's difficult days, as an established relational expectation",5,72
EMOLAB-01_NBM_MLD,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 knowingly withheld a small act of support that Agent 2 had come to rely on, despite recognizing Agent 2 wanted to talk. This is a minor but real failure of relational responsiveness, especially since it was acknowledged and not addressed afterward. It's not a severe betrayal, but a repeated pattern of knowingly ignoring a partner's needs reflects a moderate lapse in care.",Providing emotional check-in support that partner has come to rely on,4,62
EMOLAB-01_NBM_SEV,claude_sonnet,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware that Agent 2 relied on check-ins after hard days and admitted to knowingly choosing not to engage despite recognizing Agent 2's need. This is a repeated, conscious pattern of withholding support after being directly told it caused hurt, with no effort to change, which constitutes a clear failure of relational responsibility.","Providing emotional support and check-ins that the partner had come to rely on, especially after being told the pattern was hurtful",5,72
